"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price"
15227,2012,428.289836875814,40.9261593822572,140620,348.075348027451,508.504325724178,183432.184371112
15228,2012,531.310446253612,40.9512956296198,140620,451.046690841656,611.574201665567,282290.790298212
15229,2012,476.853534873606,40.9484494167438,140620,396.595357984396,557.111711762815,227389.293721453
15232,2012,650.184748481303,41.0021219022929,140620,569.82137454799,730.548122414617,422740.207157695
15233,2012,454.020746112529,41.215930257774,140620,373.238311895883,534.803180329175,206134.837900578
15234,2012,454.712532848462,40.9453146390778,140620,374.460500063461,534.964565633462,206763.487529463
15235,2012,370.576104335359,40.910660603423,140620,290.391992796783,450.760215873936,137326.649104371
15236,2012,445.003088294187,40.9219376542914,140620,364.79687395181,525.209302636563,198027.748591364
15237,2012,467.145826632632,40.9085537076468,140620,386.96584456944,547.325808695824,218225.223340285
15238,2012,502.698421813216,40.932268864766,140620,422.471958496103,582.92488513033,252705.703293498
15239,2012,419.386115623954,40.9409279258909,140620,339.142680712815,499.629550535093,175884.713978149
15241,2012,466.410231623894,40.9409539975033,140620,386.166745612894,546.653717634893,217538.504163454
15243,2012,496.789121189817,40.9521125967108,140620,416.523764538004,577.054477841629,246799.43093255
15201,2013,558.445747151408,40.9618496322564,140620,478.161306096345,638.730188206472,311861.652511495
15202,2013,457.172971231901,40.9479762355994,140620,376.915721768675,537.430220695127,209007.125625005
15203,2013,546.725856569148,40.9924129251915,140620,466.381512045073,627.070201093224,298909.162241269
15204,2013,378.732426190542,40.9857432393791,140620,298.401154122966,459.063698258117,143438.250648174
15205,2013,444.650577919595,40.9425718296962,140620,364.403920988471,524.897234850719,197714.13644423
15206,2013,515.622182201273,40.9510945927094,140620,435.358820817814,595.885543584733,265866.234778003
15207,2013,438.340046110528,40.9710090322849,140620,358.037652806767,518.642439414289,192141.99602418
15208,2013,484.541470375995,41.0053513598174,140620,404.171766767762,564.911173984228,234780.436514131
15209,2013,454.160447063593,40.9656808643893,140620,373.868496866898,534.452397260287,206261.711677002
15210,2013,382.644542928706,40.9435675805958,140620,302.395934344883,462.893151512529,146416.846233118
15211,2013,494.725017667368,40.9758248897106,140620,414.413185375254,575.036849959483,244752.843105978
15212,2013,445.090439378223,40.9387369723169,140620,364.851298694143,525.329580062303,198105.4992259
15213,2013,556.415180844447,40.9773968969508,140620,476.100267448238,636.730094240656,309597.853474158
15214,2013,413.021878985455,40.9623659302494,140620,332.73642599621,493.307331974701,170587.072520676
15215,2013,517.998163753562,40.9636836181437,140620,437.710128121271,598.286199385853,268322.097652062
15216,2013,476.900980548146,40.9474200890449,140620,396.64482112152,557.157139974773,227434.545247783
