"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price","lower_ci","upper_ci"
15206,2014,525.486643171979,28.5504412494628,133470,469.528299125491,581.444987218468,276136.212152155,220456.823679676,338078.273161485
15207,2014,441.087998303742,28.569082023859,133470,385.093118679472,497.082877928012,194558.622247602,148296.710054282,247091.387529195
15208,2014,507.513853462461,28.6200448085497,133470,451.419087709834,563.608619215087,257570.311456316,203779.192748779,317654.675653537
15209,2014,457.875350418423,28.5618863079802,133470,401.894574266015,513.856126570831,209649.836520794,161519.248824462,264048.118814378
15210,2014,388.034404690903,28.5397934577064,133470,332.096930122025,443.971879259781,150570.699223823,110288.370996473,197111.029573461
15211,2014,501.00448835482,28.5744249927999,133470,444.99913660889,557.009840100751,251005.497351675,198024.231582658,310259.961969064
15212,2014,445.179757445638,28.5391783184126,133470,389.243488538554,501.116026352721,198185.016439357,151510.493369664,251117.271867541
15213,2014,557.667665801409,28.5710209329822,133470,501.668985950627,613.666345652192,310993.225480392,251671.77146473,376586.383786116
15214,2014,418.455915926726,28.5573369432478,133470,362.484056446206,474.427775407246,175105.353574075,131394.691177696,225081.714077868
15215,2014,518.822137402568,28.5598119723977,133470,462.845426910063,574.798847895074,269176.410258969,214225.889211558,330393.715541504
15216,2014,479.888218887947,28.5437830995034,133470,423.942924693924,535.833513081969,230292.702627446,179727.603398038,287117.553741765
15217,2014,597.179558390164,28.544552857236,133470,541.232755485027,653.126361295302,356623.424959072,292932.895609915,426574.043818841
15218,2014,480.046570683697,28.5554625774734,133470,424.078384925904,536.01475644149,230444.710025177,179842.476561363,287311.81912303
15219,2014,446.143081874919,28.5931236271627,133470,390.101081146729,502.18508260311,199043.649504851,152178.853511846,252189.857189092
15220,2014,440.483261018872,28.5508190807668,133470,384.52417642992,496.442345607824,194025.50323782,147858.842259108,246455.002512598
15221,2014,416.439295477421,28.5322241236788,133470,360.516656665161,472.36193428968,173421.686817731,129972.259733026,223125.796965888
15222,2014,572.573056376198,28.9506503900759,133470,515.830309714517,629.315803037879,327839.904887981,266080.908420174,396038.37995321
15223,2014,457.418232854027,28.60265224793,133470,401.357556202949,513.478909505105,209231.439747301,161087.887921203,263660.590506552
15224,2014,545.030057737153,28.6021141348053,133470,488.970435777983,601.089679696323,297057.763836965,239092.087064911,361308.803037429
15226,2014,453.405052008207,28.5527714529068,133470,397.442140805475,509.36796321094,205576.141186565,157960.255288039,259455.721945662
15227,2014,435.155171751263,28.5275580758992,133470,379.241678307536,491.068665194991,189360.023501872,143824.250565517,241148.43393639
15228,2014,535.485436484907,28.5521083708909,133470,479.52382491083,591.447048058984,286744.652687431,229943.098657112,349809.610657686
15229,2014,481.393557731052,28.5506377848716,133470,425.434828478747,537.352286983357,231739.75742496,180994.793282741,288747.480326244
15232,2014,644.622841843926,28.6194255491666,133470,588.529289828394,700.716393859459,415538.60822694,346366.724985914,491003.464623404
15233,2014,476.148372351172,28.855224064126,133470,419.592659547635,532.70408515471,226717.27249267,176057.999946257,283773.642340516
15234,2014,460.442378584077,28.550142152281,133470,404.484620762609,516.400136405545,212007.183996163,163607.808433471,266669.100879666
15235,2014,380.047420901237,28.5165933020312,133470,324.155418214278,435.939423588197,144436.042133682,105076.735157673,190043.181038409
15236,2014,451.85992931392,28.5233826509163,133470,395.954619626994,507.765239000847,204177.395719581,156780.060803957,257825.537937587
15237,2014,474.325388362868,28.5076088801084,133470,418.450994978988,530.199781746748,224984.574045586,175101.235198905,281111.8085643
15238,2014,508.058391502748,28.525482492619,133470,452.148966164388,563.967816841107,258123.329176359,204438.687603525,318059.698432525
15239,2014,428.051075512993,28.5462729552524,133470,372.10090124712,484.001249778865,183227.72324783,138459.080708919,234257.209787503
15241,2014,473.028936453329,28.5365489867218,133470,417.097820988397,528.960051918261,223756.374722168,173970.592273269,279798.73652537
15243,2014,502.19145655387,28.5535797546876,133470,446.226961094391,558.155952013348,252196.259035697,199118.500807536,311538.066767927
15201,2015,570.431655213823,28.5664845007135,133470,514.441866687536,626.421443740111,325392.273269982,264650.434200957,392403.825177445
15202,2015,469.147857858598,28.541088576755,133470,413.20784488001,525.087870837186,220099.712533311,170740.723070382,275717.27210033
15203,2015,556.495209140266,28.5905551517218,133470,500.458242577087,612.532175703445,309686.917796068,250458.452563346,375195.666271996
15204,2015,395.901122454941,28.5848529316263,133470,339.875332139132,451.926912770751,156737.698761083,115515.241396686,204237.934486502
15205,2015,456.436160778245,28.5385825972595,133470,400.501059473755,512.371262082735,208333.968865984,160401.0986396,262524.310208254
15206,2015,536.274566522267,28.5508395696117,133470,480.315441775552,592.233691268982,287590.410698645,230702.923608044,350740.745074083
15207,2015,451.87592165403,28.5690412523108,133470,395.88112194125,507.870721366809,204191.848570679,156721.862709463,257932.669621643
15208,2015,518.301776812748,28.6204397667054,133470,462.206236949341,574.397316676155,268636.731847252,213634.60547487,329932.277404767
15209,2015,468.663273768711,28.5622080283715,133470,412.681867050204,524.644680487217,219645.264179605,170306.323392043,275252.040763534
15210,2015,398.82232804119,28.5402202936005,133470,342.884016881746,454.760639200634,159059.249344195,117569.449032962,206807.23896617
15211,2015,511.792411705108,28.5751894886818,133470,455.785561561194,567.799261849021,261931.47267893,207740.478127653,322396.001756293
15212,2015,455.967680795925,28.5396928541481,133470,400.030403408186,511.904958183663,207906.525930415,160024.323650916,262046.686213018
15213,2015,568.455589151697,28.5711059678913,133470,512.456742634043,624.45443566935,323141.756837803,262611.913071094,389943.342227127
15214,2015,429.243839277013,28.5579549362243,133470,373.270768541533,485.216910012494,184250.273557271,139331.066647587,235435.449762073
15215,2015,529.610060752856,28.5599791642135,133470,473.633022567441,585.58709893827,280486.816450643,224328.24006637,342912.250442939
15216,2015,490.676142238234,28.5441738931049,133470,434.730082095881,546.622202380587,240763.076561796,188990.244279091,298795.832135404
15217,2015,607.967481740452,28.5452459787436,133470,552.019320329803,663.9156431511,369624.458853827,304725.330017378,440783.981220739
15218,2015,490.834494033984,28.5558558290155,133470,434.865537510342,546.803450557626,240918.500533597,189108.035714159,298994.013541726
15219,2015,456.931005225206,28.5934865204925,133470,400.888293232709,512.973717217704,208785.943536118,160711.423651035,263142.034556149
15220,2015,451.271184369159,28.5515539990072,133470,395.310659353862,507.231709384457,203645.681841944,156270.517398785,257284.007005078
15221,2015,427.227218827708,28.5324712977877,133470,371.304095558704,483.150342096712,182523.096507259,137866.731378667,233434.25306817
15222,2015,583.360979726485,28.9503552440328,133470,526.618811545665,640.103147907306,340310.032667445,277327.372673768,409732.039960842
15223,2015,468.206156204314,28.6031245495086,133470,412.144553850757,524.267758557871,219217.004707619,169863.13326884,274856.682663295
15224,2015,555.817981087441,28.6023042059737,133470,499.757986592248,611.877975582634,308933.628100119,249758.045162738,374394.657003102
15226,2015,464.192975358495,28.5530305689347,133470,408.229556293074,520.156394423916,215475.118372172,166651.37063124,270562.674660088
15227,2015,445.943095101551,28.5279290169078,133470,390.028874620213,501.857315582888,198865.244068751,152122.52303751,251860.765204063
15228,2015,546.273359835194,28.5525415247388,133470,490.310899287477,602.235820382912,298414.583665631,240404.777960094,362687.983352279
15229,2015,492.181481081339,28.5511920449027,133470,436.221665489484,548.141296673195,242242.610319421,190289.341442419,300458.881118571
15232,2015,655.410765194214,28.6197305387147,133470,599.316615404731,711.504914983697,429563.271132465,359180.405500182,506239.244045958
15233,2015,486.93629570146,28.8561571486427,133470,430.37875406929,543.493837333629,237106.956071459,185225.871954235,295385.551219633
15234,2015,471.230301934365,28.5503982954605,133470,415.272042076937,527.188561791792,222057.997461152,172450.868930749,277927.779684098
15235,2015,390.835344251525,28.5173226665061,133470,334.941912023499,446.72877647955,152752.266316208,112186.084429957,199566.599734916
15236,2015,462.647852664208,28.523726996438,133470,406.74186806634,518.553837262075,214043.035574802,165438.947238096,268898.082139223
15237,2015,485.113311713155,28.5080665656003,133470,429.23802127406,540.988602152251,235334.925201305,184245.27890727,292668.667658646
15238,2015,518.846314853035,28.5258033197783,133470,462.936260699295,574.756369006775,269201.498436575,214309.981470246,330344.883713852
15239,2015,438.83899886328,28.5466650577634,133470,382.888056083639,494.789941642921,192579.666923326,146603.263491508,244817.086351006
15241,2015,483.816859803617,28.5369260753147,133470,427.885005251921,539.748714355312,234078.753830233,183085.577719437,291328.674648212
15243,2015,512.979379904157,28.5542476810813,133470,457.013575321131,568.945184487183,263147.844206854,208861.408027803,323698.622951155
15201,2016,575.149680917918,28.5677913432817,133470,519.157331004036,631.1420308318,330797.155459983,269524.334335234,398340.263082489
15202,2016,473.865883562692,28.5416644608374,133470,417.924741861808,529.807025263577,224548.875604651,174661.089860259,280695.484018641
15203,2016,561.21323484436,28.5914577473889,133470,505.174499210138,617.251970478583,314960.294964471,255201.274652214,380999.995059693
